id,amount,date,note,created_at,updated_at,category_id,user_id,both_flg,mypay,partnerpay,percent
108,1136,2018-04-19,"",2018-04-22 13:19:08.490231,2018-04-22 13:19:08.490231,1,2,t,378,758,2
109,1141,2018-04-17,"",2018-04-22 13:19:23.734737,2018-04-22 13:19:23.734737,1,2,t,380,761,2
110,1685,2018-04-16,"",2018-04-22 13:19:39.228747,2018-04-22 13:19:39.228747,1,2,t,561,1124,2
111,976,2018-04-16,マスク,2018-04-22 13:20:03.846881,2018-04-22 13:20:03.846881,3,2,t,488,488,1
112,1501,2018-04-22,"",2018-04-22 13:20:20.721301,2018-04-22 13:20:20.721301,1,2,t,500,1001,2
113,1275,2018-04-18,"",2018-04-22 13:20:36.08538,2018-04-22 13:20:36.08538,1,2,t,425,850,2
114,199,2018-04-22,マイティソー,2018-04-22 13:34:58.064016,2018-04-22 13:34:58.064016,14,1,f,,,
115,981,2018-04-22,水,2018-04-22 13:38:44.151939,2018-04-22 13:38:44.151939,1,1,t,490,491,1
116,1000,2018-04-23,ランチチケット,2018-04-23 04:18:33.700441,2018-04-23 04:18:33.700441,1,2,f,,,
117,3180,2018-04-25,"",2018-04-25 12:28:32.105265,2018-04-25 12:28:32.105265,15,1,f,,,
45,3720,2018-04-26,夜行バス代,2018-04-08 00:23:13.563122,2018-04-26 13:30:38.771598,5,1,f,,,
35,100,2018-03-26,夜行バス,2018-04-05 12:34:17.97396,2018-04-26 13:31:57.829962,5,2,t,0,100,4
46,3600,2018-04-08,映画デート,2018-04-08 02:08:01.279359,2018-04-26 13:34:19.35278,10,2,t,1800,1800,1
40,1058,2018-04-06,アルガード,2018-04-07 01:19:02.155265,2018-04-26 13:34:49.29534,3,2,t,0,1058,4
118,4460,2018-04-26,病院,2018-04-26 22:52:44.620853,2018-04-26 22:52:44.620853,5,2,f,,,
119,199,2018-04-27,マイティーソー ダークワールド,2018-04-27 15:09:45.673987,2018-04-27 15:09:45.673987,14,1,f,,,
121,2293,2018-04-27,"",2018-04-27 23:34:59.60834,2018-04-27 23:34:59.60834,1,1,f,,,
122,6000,2018-04-30,群馬旅行交通費,2018-04-30 09:09:24.415075,2018-04-30 09:09:24.415075,10,1,f,,,
123,1080,2018-04-30,お土産,2018-04-30 09:10:08.91636,2018-04-30 09:10:08.91636,1,1,f,,,
124,398,2018-04-29,シビル・ウォー,2018-04-30 11:12:30.522467,2018-04-30 11:12:30.522467,5,1,t,199,199,1
126,500,2018-04-30,マイティー・ソー バトルロイヤル,2018-04-30 13:08:00.050631,2018-04-30 13:08:00.050631,5,1,t,250,250,1
127,6000,2018-05-01,映画代,2018-05-01 11:09:12.992824,2018-05-01 11:09:12.992824,10,2,t,3000,3000,1
128,1026,2018-04-23,サクセス,2018-05-02 04:30:50.656712,2018-05-02 04:30:50.656712,3,2,t,0,1026,4
129,820,2018-04-23,葛根湯,2018-05-02 04:31:36.972255,2018-05-02 04:31:36.972255,3,2,t,410,410,1
130,1606,2018-04-23,"",2018-05-02 04:32:12.486883,2018-05-02 04:32:12.486883,1,2,t,535,1071,2
131,1948,2018-05-01,"",2018-05-02 04:32:31.826129,2018-05-02 04:32:31.826129,1,2,t,649,1299,2
132,1540,2018-04-24,"",2018-05-02 04:32:52.94176,2018-05-02 04:32:52.94176,1,2,t,513,1027,2
133,1333,2018-04-25,"",2018-05-02 04:33:13.887467,2018-05-02 04:33:13.887467,1,2,t,444,889,2
134,1204,2018-04-26,"",2018-05-02 04:33:31.225338,2018-05-02 04:33:31.225338,1,2,t,401,803,2
135,108,2018-04-27,ウェットティッシュ,2018-05-02 04:33:59.862072,2018-05-02 04:33:59.862072,3,2,t,54,54,1
136,2436,2018-04-30,"",2018-05-02 04:34:47.469694,2018-05-02 04:34:47.469694,1,2,t,812,1624,2
137,1058,2018-04-28,サプリ,2018-05-02 04:36:33.30026,2018-05-02 04:36:33.30026,20,2,f,,,
138,4000,2018-04-28,"",2018-05-02 04:37:00.601103,2018-05-02 04:37:00.601103,4,2,f,,,
139,9170,2018-04-25,定期代,2018-05-02 04:37:31.400333,2018-05-02 04:37:31.400333,4,2,f,,,
140,770,2018-04-26,モスバーガー,2018-05-02 04:38:06.530282,2018-05-02 04:38:06.530282,2,2,f,,,
141,650,2018-05-01,カフェ,2018-05-02 04:38:31.179799,2018-05-02 04:38:31.179799,2,2,f,,,
